"","Make","Model","Year","Engine.Fuel.Type","Engine.HP","Engine.Cylinders","Transmission.Type","Driven_Wheels","Number.of.Doors","Market.Category","Vehicle.Size","Vehicle.Style","highway.MPG","city.mpg","Popularity","MSRP","MSRP_range"
"1489","Cadillac","ATS Coupe",2015,"flex-fuel (unleaded/E85)",321,6,"AUTOMATIC","rear wheel drive",2,"Flex Fuel,Luxury,High-Performance","Compact","Coupe",28,18,1624,48165,"(4e+04,6e+04]"
"1490","Cadillac","ATS Coupe",2015,"flex-fuel (unleaded/E85)",321,6,"AUTOMATIC","all wheel drive",2,"Flex Fuel,Luxury,High-Performance","Compact","Coupe",26,18,1624,50165,"(4e+04,6e+04]"
"1491","Cadillac","ATS Coupe",2015,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",31,21,1624,37995,"(2e+04,4e+04]"
"1492","Cadillac","ATS Coupe",2015,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",29,20,1624,40445,"(4e+04,6e+04]"
"1493","Cadillac","ATS Coupe",2015,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",29,20,1624,46935,"(4e+04,6e+04]"
"1494","Cadillac","ATS Coupe",2015,"flex-fuel (unleaded/E85)",321,6,"AUTOMATIC","all wheel drive",2,"Flex Fuel,Luxury,High-Performance","Compact","Coupe",26,18,1624,51435,"(4e+04,6e+04]"
"1495","Cadillac","ATS Coupe",2015,"flex-fuel (unleaded/E85)",321,6,"AUTOMATIC","rear wheel drive",2,"Flex Fuel,Luxury,High-Performance","Compact","Coupe",28,18,1624,45150,"(4e+04,6e+04]"
"1496","Cadillac","ATS Coupe",2015,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",31,21,1624,47095,"(4e+04,6e+04]"
"1497","Cadillac","ATS Coupe",2015,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",29,20,1624,48205,"(4e+04,6e+04]"
"1498","Cadillac","ATS Coupe",2015,"flex-fuel (unleaded/E85)",321,6,"AUTOMATIC","all wheel drive",2,"Flex Fuel,Luxury,High-Performance","Compact","Coupe",26,18,1624,47750,"(4e+04,6e+04]"
"1499","Cadillac","ATS Coupe",2015,"flex-fuel (unleaded/E85)",321,6,"AUTOMATIC","rear wheel drive",2,"Flex Fuel,Luxury,High-Performance","Compact","Coupe",28,18,1624,50325,"(4e+04,6e+04]"
"1500","Cadillac","ATS Coupe",2015,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",31,21,1624,41920,"(4e+04,6e+04]"
"1501","Cadillac","ATS Coupe",2015,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",31,21,1624,44935,"(4e+04,6e+04]"
"1502","Cadillac","ATS Coupe",2015,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",29,20,1624,44520,"(4e+04,6e+04]"
"1503","Cadillac","ATS Coupe",2016,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",31,22,1624,47605,"(4e+04,6e+04]"
"1504","Cadillac","ATS Coupe",2016,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",31,22,1624,41920,"(4e+04,6e+04]"
"1505","Cadillac","ATS Coupe",2016,"regular unleaded",335,6,"AUTOMATIC","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",30,20,1624,48675,"(4e+04,6e+04]"
"1506","Cadillac","ATS Coupe",2016,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",30,22,1624,48715,"(4e+04,6e+04]"
"1507","Cadillac","ATS Coupe",2016,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",31,22,1624,45445,"(4e+04,6e+04]"
"1508","Cadillac","ATS Coupe",2016,"regular unleaded",335,6,"AUTOMATIC","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",30,20,1624,45150,"(4e+04,6e+04]"
"1509","Cadillac","ATS Coupe",2016,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",30,22,1624,40445,"(4e+04,6e+04]"
"1510","Cadillac","ATS Coupe",2016,"regular unleaded",335,6,"AUTOMATIC","all wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,19,1624,47750,"(4e+04,6e+04]"
"1511","Cadillac","ATS Coupe",2016,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",30,22,1624,47445,"(4e+04,6e+04]"
"1512","Cadillac","ATS Coupe",2016,"regular unleaded",335,6,"AUTOMATIC","all wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,19,1624,50675,"(4e+04,6e+04]"
"1513","Cadillac","ATS Coupe",2016,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",31,22,1624,37995,"(2e+04,4e+04]"
"1514","Cadillac","ATS Coupe",2016,"regular unleaded",335,6,"AUTOMATIC","all wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,19,1624,51945,"(4e+04,6e+04]"
"1515","Cadillac","ATS Coupe",2016,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",30,22,1624,44520,"(4e+04,6e+04]"
"1516","Cadillac","ATS Coupe",2016,"regular unleaded",335,6,"AUTOMATIC","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",30,20,1624,50835,"(4e+04,6e+04]"
"1517","Cadillac","ATS Coupe",2017,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",30,22,1624,43395,"(4e+04,6e+04]"
"1518","Cadillac","ATS Coupe",2017,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",31,22,1624,37595,"(2e+04,4e+04]"
"1519","Cadillac","ATS Coupe",2017,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",30,22,1624,39995,"(2e+04,4e+04]"
"1520","Cadillac","ATS Coupe",2017,"regular unleaded",335,6,"AUTOMATIC","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",30,20,1624,49495,"(4e+04,6e+04]"
"1521","Cadillac","ATS Coupe",2017,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",31,22,1624,41395,"(4e+04,6e+04]"
"1522","Cadillac","ATS Coupe",2017,"regular unleaded",335,6,"AUTOMATIC","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",30,20,1624,46995,"(4e+04,6e+04]"
"1523","Cadillac","ATS Coupe",2017,"regular unleaded",335,6,"AUTOMATIC","all wheel drive",2,"Luxury,High-Performance","Compact","Coupe",27,19,1624,48995,"(4e+04,6e+04]"
"1524","Cadillac","ATS-V",2016,"premium unleaded (recommended)",464,6,"MANUAL","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",23,17,1624,62665,"(6e+04,8e+04]"
"1525","Cadillac","ATS-V",2016,"premium unleaded (recommended)",464,6,"MANUAL","rear wheel drive",4,"Factory Tuner,Luxury,High-Performance","Compact","Sedan",23,17,1624,60465,"(6e+04,8e+04]"
"1526","Cadillac","ATS-V",2017,"premium unleaded (recommended)",464,6,"MANUAL","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",23,16,1624,62895,"(6e+04,8e+04]"
"1527","Cadillac","ATS-V",2017,"premium unleaded (recommended)",464,6,"MANUAL","rear wheel drive",4,"Factory Tuner,Luxury,High-Performance","Compact","Sedan",23,16,1624,60695,"(6e+04,8e+04]"
"1528","Cadillac","ATS",2015,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Compact","Sedan",28,20,1624,41340,"(4e+04,6e+04]"
"1529","Cadillac","ATS",2015,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Compact","Sedan",30,21,1624,39340,"(2e+04,4e+04]"
"1530","Cadillac","ATS",2015,"regular unleaded",202,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Compact","Sedan",33,21,1624,33215,"(2e+04,4e+04]"
"1531","Cadillac","ATS",2015,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Compact","Sedan",30,21,1624,45615,"(4e+04,6e+04]"
"1532","Cadillac","ATS",2015,"flex-fuel (unleaded/E85)",321,6,"AUTOMATIC","rear wheel drive",4,"Flex Fuel,Luxury,High-Performance","Compact","Sedan",28,18,1624,47615,"(4e+04,6e+04]"
"1533","Cadillac","ATS",2015,"flex-fuel (unleaded/E85)",321,6,"AUTOMATIC","rear wheel drive",4,"Flex Fuel,Luxury,High-Performance","Compact","Sedan",28,18,1624,44660,"(4e+04,6e+04]"
"1534","Cadillac","ATS",2015,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Compact","Sedan",28,20,1624,46715,"(4e+04,6e+04]"
"1535","Cadillac","ATS",2015,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Compact","Sedan",28,20,1624,37245,"(2e+04,4e+04]"
"1536","Cadillac","ATS",2015,"flex-fuel (unleaded/E85)",321,6,"AUTOMATIC","rear wheel drive",4,"Flex Fuel,Luxury,High-Performance","Compact","Sedan",28,18,1624,41340,"(4e+04,6e+04]"
"1537","Cadillac","ATS",2015,"flex-fuel (unleaded/E85)",321,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Luxury,High-Performance","Compact","Sedan",26,18,1624,46660,"(4e+04,6e+04]"
"1538","Cadillac","ATS",2015,"flex-fuel (unleaded/E85)",321,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Luxury,High-Performance","Compact","Sedan",26,18,1624,48715,"(4e+04,6e+04]"
"1539","Cadillac","ATS",2015,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Compact","Sedan",28,20,1624,44660,"(4e+04,6e+04]"
"1540","Cadillac","ATS",2015,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Compact","Sedan",30,21,1624,35245,"(2e+04,4e+04]"
"1541","Cadillac","ATS",2015,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Compact","Sedan",30,21,1624,42660,"(4e+04,6e+04]"
"1542","Cadillac","ATS",2015,"regular unleaded",202,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Compact","Sedan",33,21,1624,37340,"(2e+04,4e+04]"
"1543","Cadillac","ATS",2015,"flex-fuel (unleaded/E85)",321,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Luxury,High-Performance","Compact","Sedan",26,18,1624,43340,"(4e+04,6e+04]"
"1544","Cadillac","ATS",2016,"regular unleaded",335,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",30,20,1624,41340,"(4e+04,6e+04]"
"1545","Cadillac","ATS",2016,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",31,22,1624,46110,"(4e+04,6e+04]"
"1546","Cadillac","ATS",2016,"regular unleaded",335,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",30,20,1624,45155,"(4e+04,6e+04]"
"1547","Cadillac","ATS",2016,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",31,22,1624,39340,"(2e+04,4e+04]"
"1548","Cadillac","ATS",2016,"regular unleaded",335,6,"AUTOMATIC","all wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",28,19,1624,47155,"(4e+04,6e+04]"
"1549","Cadillac","ATS",2016,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",31,22,1624,43155,"(4e+04,6e+04]"
"1550","Cadillac","ATS",2016,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",30,22,1624,37245,"(2e+04,4e+04]"
"1551","Cadillac","ATS",2016,"regular unleaded",335,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",30,20,1624,48110,"(4e+04,6e+04]"
"1552","Cadillac","ATS",2016,"regular unleaded",202,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",32,22,1624,37340,"(2e+04,4e+04]"
"1553","Cadillac","ATS",2016,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",31,22,1624,35245,"(2e+04,4e+04]"
"1554","Cadillac","ATS",2016,"regular unleaded",335,6,"AUTOMATIC","all wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",28,19,1624,43340,"(4e+04,6e+04]"
"1555","Cadillac","ATS",2016,"regular unleaded",202,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",32,22,1624,33215,"(2e+04,4e+04]"
"1556","Cadillac","ATS",2016,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",30,22,1624,47210,"(4e+04,6e+04]"
"1557","Cadillac","ATS",2016,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",30,22,1624,41340,"(4e+04,6e+04]"
"1558","Cadillac","ATS",2016,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",30,22,1624,45155,"(4e+04,6e+04]"
"1559","Cadillac","ATS",2016,"regular unleaded",335,6,"AUTOMATIC","all wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",28,19,1624,49210,"(4e+04,6e+04]"
"1560","Cadillac","ATS",2017,"regular unleaded",335,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",30,20,1624,46995,"(4e+04,6e+04]"
"1561","Cadillac","ATS",2017,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",30,22,1624,40395,"(4e+04,6e+04]"
"1562","Cadillac","ATS",2017,"regular unleaded",335,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",30,20,1624,43995,"(4e+04,6e+04]"
"1563","Cadillac","ATS",2017,"regular unleaded",335,6,"AUTOMATIC","all wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",27,19,1624,45995,"(4e+04,6e+04]"
"1564","Cadillac","ATS",2017,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",31,22,1624,34595,"(2e+04,4e+04]"
"1565","Cadillac","ATS",2017,"premium unleaded (recommended)",272,4,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",30,22,1624,36595,"(2e+04,4e+04]"
"1566","Cadillac","ATS",2017,"premium unleaded (recommended)",272,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",31,22,1624,38395,"(2e+04,4e+04]"
"1567","Oldsmobile","Aurora",2001,"premium unleaded (required)",250,8,"AUTOMATIC","front wheel drive",4,"Performance","Large","Sedan",23,15,26,34794,"(2e+04,4e+04]"
"1568","Oldsmobile","Aurora",2001,"regular unleaded",215,6,"AUTOMATIC","front wheel drive",4,"N/A","Large","Sedan",25,17,26,30619,"(2e+04,4e+04]"
"1569","Oldsmobile","Aurora",2002,"regular unleaded",215,6,"AUTOMATIC","front wheel drive",4,"N/A","Large","Sedan",25,16,26,31615,"(2e+04,4e+04]"
"1570","Oldsmobile","Aurora",2002,"premium unleaded (required)",250,8,"AUTOMATIC","front wheel drive",4,"Performance","Large","Sedan",24,16,26,35085,"(2e+04,4e+04]"
"1571","Oldsmobile","Aurora",2003,"premium unleaded (required)",250,8,"AUTOMATIC","front wheel drive",4,"Performance","Large","Sedan",24,15,26,34725,"(2e+04,4e+04]"
"1572","Chevrolet","Avalanche",2010,"flex-fuel (unleaded/E85)",320,8,"AUTOMATIC","rear wheel drive",4,"Crossover,Flex Fuel","Large","Crew Cab Pickup",21,15,1385,45815,"(4e+04,6e+04]"
"1573","Chevrolet","Avalanche",2010,"flex-fuel (unleaded/E85)",320,8,"AUTOMATIC","rear wheel drive",4,"Crossover,Flex Fuel","Large","Crew Cab Pickup",21,15,1385,35725,"(2e+04,4e+04]"
"1574","Chevrolet","Avalanche",2010,"flex-fuel (unleaded/E85)",320,8,"AUTOMATIC","rear wheel drive",4,"Crossover,Flex Fuel","Large","Crew Cab Pickup",21,15,1385,38830,"(2e+04,4e+04]"
"1575","Chevrolet","Avalanche",2011,"flex-fuel (unleaded/E85)",320,8,"AUTOMATIC","rear wheel drive",4,"Crossover,Flex Fuel","Large","Crew Cab Pickup",21,15,1385,39405,"(2e+04,4e+04]"
"1576","Chevrolet","Avalanche",2011,"flex-fuel (unleaded/E85)",320,8,"AUTOMATIC","rear wheel drive",4,"Crossover,Flex Fuel","Large","Crew Cab Pickup",21,15,1385,46195,"(4e+04,6e+04]"
"1577","Chevrolet","Avalanche",2011,"flex-fuel (unleaded/E85)",320,8,"AUTOMATIC","four wheel drive",4,"Crossover,Flex Fuel","Large","Crew Cab Pickup",21,15,1385,39350,"(2e+04,4e+04]"
"1578","Chevrolet","Avalanche",2011,"flex-fuel (unleaded/E85)",320,8,"AUTOMATIC","four wheel drive",4,"Crossover,Flex Fuel","Large","Crew Cab Pickup",21,15,1385,49500,"(4e+04,6e+04]"
"1579","Chevrolet","Avalanche",2011,"flex-fuel (unleaded/E85)",320,8,"AUTOMATIC","four wheel drive",4,"Crossover,Flex Fuel","Large","Crew Cab Pickup",21,15,1385,42455,"(4e+04,6e+04]"
"1580","Chevrolet","Avalanche",2011,"flex-fuel (unleaded/E85)",320,8,"AUTOMATIC","rear wheel drive",4,"Crossover,Flex Fuel","Large","Crew Cab Pickup",21,15,1385,36300,"(2e+04,4e+04]"
"1581","Chevrolet","Avalanche",2012,"flex-fuel (unleaded/E85)",320,8,"AUTOMATIC","rear wheel drive",4,"Crossover,Flex Fuel","Large","Crew Cab Pickup",21,15,1385,40195,"(4e+04,6e+04]"
"1582","Chevrolet","Avalanche",2012,"flex-fuel (unleaded/E85)",320,8,"AUTOMATIC","four wheel drive",4,"Crossover,Flex Fuel","Large","Crew Cab Pickup",21,15,1385,43245,"(4e+04,6e+04]"
"1583","Chevrolet","Avalanche",2012,"flex-fuel (unleaded/E85)",320,8,"AUTOMATIC","rear wheel drive",4,"Crossover,Flex Fuel","Large","Crew Cab Pickup",21,15,1385,47000,"(4e+04,6e+04]"
"1584","Chevrolet","Avalanche",2012,"flex-fuel (unleaded/E85)",320,8,"AUTOMATIC","four wheel drive",4,"Crossover,Flex Fuel","Large","Crew Cab Pickup",21,15,1385,39850,"(2e+04,4e+04]"
"1585","Chevrolet","Avalanche",2012,"flex-fuel (unleaded/E85)",320,8,"AUTOMATIC","rear wheel drive",4,"Crossover,Flex Fuel","Large","Crew Cab Pickup",21,15,1385,36800,"(2e+04,4e+04]"
"1586","Chevrolet","Avalanche",2012,"flex-fuel (unleaded/E85)",320,8,"AUTOMATIC","four wheel drive",4,"Crossover,Flex Fuel","Large","Crew Cab Pickup",21,15,1385,50305,"(4e+04,6e+04]"
"1587","Toyota","Avalon Hybrid",2015,"regular unleaded",200,4,"AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Sedan",39,40,2031,37800,"(2e+04,4e+04]"
"1588","Toyota","Avalon Hybrid",2015,"regular unleaded",200,4,"AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Sedan",39,40,2031,41700,"(4e+04,6e+04]"
"1589","Toyota","Avalon Hybrid",2015,"regular unleaded",200,4,"AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Sedan",39,40,2031,36470,"(2e+04,4e+04]"
"1590","Toyota","Avalon Hybrid",2016,"regular unleaded",200,4,"AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Sedan",39,40,2031,36650,"(2e+04,4e+04]"
"1591","Toyota","Avalon Hybrid",2016,"regular unleaded",200,4,"AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Sedan",39,40,2031,38100,"(2e+04,4e+04]"
"1592","Toyota","Avalon Hybrid",2016,"regular unleaded",200,4,"AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Sedan",39,40,2031,41950,"(4e+04,6e+04]"
"1593","Toyota","Avalon Hybrid",2017,"regular unleaded",200,4,"AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Sedan",39,40,2031,42550,"(4e+04,6e+04]"
"1594","Toyota","Avalon Hybrid",2017,"regular unleaded",200,4,"AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Sedan",39,40,2031,38700,"(2e+04,4e+04]"
"1595","Toyota","Avalon Hybrid",2017,"regular unleaded",200,4,"AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Sedan",39,40,2031,37250,"(2e+04,4e+04]"
"1596","Toyota","Avalon",2015,"regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"Performance","Midsize","Sedan",31,21,2031,37170,"(2e+04,4e+04]"
"1597","Toyota","Avalon",2015,"regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",31,21,2031,32285,"(2e+04,4e+04]"
"1598","Toyota","Avalon",2015,"regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"Performance","Midsize","Sedan",31,21,2031,39980,"(2e+04,4e+04]"
"1599","Toyota","Avalon",2015,"regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"Performance","Midsize","Sedan",31,21,2031,36080,"(2e+04,4e+04]"
"1600","Toyota","Avalon",2015,"regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",31,21,2031,34140,"(2e+04,4e+04]"
"1601","Toyota","Avalon",2016,"regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"Performance","Midsize","Sedan",31,21,2031,37050,"(2e+04,4e+04]"
"1602","Toyota","Avalon",2016,"regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",31,21,2031,35850,"(2e+04,4e+04]"
"1603","Toyota","Avalon",2016,"regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"Performance","Midsize","Sedan",31,21,2031,40450,"(4e+04,6e+04]"
"1604","Toyota","Avalon",2016,"regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",31,21,2031,32650,"(2e+04,4e+04]"
"1605","Toyota","Avalon",2016,"regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",31,21,2031,34400,"(2e+04,4e+04]"
"1606","Toyota","Avalon",2017,"regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"Performance","Midsize","Sedan",30,21,2031,41050,"(4e+04,6e+04]"
"1607","Toyota","Avalon",2017,"regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"Performance","Midsize","Sedan",30,21,2031,37650,"(2e+04,4e+04]"
"1608","Toyota","Avalon",2017,"regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",30,21,2031,33250,"(2e+04,4e+04]"
"1609","Toyota","Avalon",2017,"regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",30,21,2031,36450,"(2e+04,4e+04]"
"1610","Toyota","Avalon",2017,"regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",30,21,2031,35000,"(2e+04,4e+04]"
"1611","Dodge","Avenger",2012,"flex-fuel (unleaded/E85)",283,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",29,19,1851,25995,"(2e+04,4e+04]"
"1612","Dodge","Avenger",2012,"regular unleaded",173,4,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",31,20,1851,21495,"(2e+04,4e+04]"
"1613","Dodge","Avenger",2012,"flex-fuel (unleaded/E85)",283,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",29,19,1851,23995,"(2e+04,4e+04]"
"1614","Dodge","Avenger",2012,"regular unleaded",173,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",30,21,1851,18995,"(1e+04,2e+04]"
"1615","Dodge","Avenger",2013,"flex-fuel (unleaded/E85)",283,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",29,19,1851,25695,"(2e+04,4e+04]"
"1616","Dodge","Avenger",2013,"regular unleaded",173,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",29,21,1851,19795,"(1e+04,2e+04]"
"1617","Dodge","Avenger",2013,"regular unleaded",173,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",31,20,1851,22595,"(2e+04,4e+04]"
"1618","Dodge","Avenger",2014,"regular unleaded",173,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",29,21,1851,20595,"(2e+04,4e+04]"
"1619","Dodge","Avenger",2014,"flex-fuel (unleaded/E85)",283,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",29,19,1851,25795,"(2e+04,4e+04]"
"1620","Dodge","Avenger",2014,"regular unleaded",173,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",31,20,1851,23295,"(2e+04,4e+04]"
"1633","Chevrolet","Aveo",2009,"regular unleaded",107,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,27,1385,11965,"(1e+04,2e+04]"
"1634","Chevrolet","Aveo",2009,"regular unleaded",107,4,"MANUAL","front wheel drive",4,"N/A","Compact","Sedan",34,27,1385,15365,"(1e+04,2e+04]"
"1635","Chevrolet","Aveo",2009,"regular unleaded",107,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,27,1385,14100,"(1e+04,2e+04]"
"1636","Chevrolet","Aveo",2009,"regular unleaded",107,4,"MANUAL","front wheel drive",4,"N/A","Compact","Sedan",34,27,1385,11965,"(1e+04,2e+04]"
"1637","Chevrolet","Aveo",2009,"regular unleaded",107,4,"MANUAL","front wheel drive",4,"N/A","Compact","Sedan",34,27,1385,14100,"(1e+04,2e+04]"
"1638","Chevrolet","Aveo",2009,"regular unleaded",107,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,27,1385,15365,"(1e+04,2e+04]"
"1639","Chevrolet","Aveo",2010,"regular unleaded",108,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,27,1385,15365,"(1e+04,2e+04]"
"1640","Chevrolet","Aveo",2010,"regular unleaded",108,4,"MANUAL","front wheel drive",4,"N/A","Compact","Sedan",35,27,1385,11965,"(1e+04,2e+04]"
"1641","Chevrolet","Aveo",2010,"regular unleaded",108,4,"MANUAL","front wheel drive",4,"N/A","Compact","Sedan",35,27,1385,14100,"(1e+04,2e+04]"
